SeaQuestions_1 {什么叫做穿过前桅横帆孔洞，并通过支索上专用滑轮的一组绳索？}
SeaQuestions_45 {你知道把船从浅滩拖出来用的那个辅助锚叫什么吗？}
SeaQuestions_46 {系锚}
SeaQuestions_47 {你知道炮尾端那个圆形凸起叫什么吗？}
SeaQuestions_48 {炮尾球}
SeaQuestions_49 {你称那些系在支索上的小绳子，用来攀爬到桅杆和上桅杆的叫什么？}
SeaQuestions_50 {横桅索}
SeaQuestions_51 {告诉我，用来吊起小船、货物和其他许多东西的绳子末端固定的金属挂钩叫什么名字。}
SeaQuestions_52 {吊钩}
SeaQuestions_53 {你知道船尾平坦部分挂着船尾灯的地方叫什么吗？}
SeaQuestions_54 {艉楼}
SeaQuestions_55 {告诉我，用来将帆角拉向船头的活动绳索叫什么名字。}
SeaQuestions_56 {横帆转向}
SeaQuestions_57 {你知道支撑三角帆顶端的倾斜桅杆叫什么吗？}
SeaQuestions_58 {横帆}
SeaQuestions_59 {等于十分之一海里的是哪种长度单位？}
SeaQuestions_60 {缆绳}
SeaQuestions_61 {装有火药的小布袋叫什么？}
SeaQuestions_62 {火药袋}
SeaQuestions_63 {你知道船尾上层甲板上凸起的部分叫什么吗？}
SeaQuestions_64 {后甲板}
SeaQuestions_65 {请告诉我，那个插入结中防止其收紧的圆锥形硬木块叫什么名字？}
SeaQuestions_66 {切换}
SeaQuestions_67 {你知道从桅杆到艏斜桅之间系着的三角帆叫什么吗？}
SeaQuestions_68 {Jib}
SeaQuestions_69 {你知道船舷上用于锚链通过的开口叫什么吗？小心点……}
SeaQuestions_70 {缆孔}
SeaQuestions_71 {你知道后桅的方顶帆叫什么吗？}
SeaQuestions_72 {后桅顶帆}
SeaQuestions_73 {你知道方帆外缘上那块梯形附加帆叫什么吗？}
SeaQuestions_74 {加帆}
SeaQuestions_75 {缝补帆边用的那种柔软绳子叫什么？}
SeaQuestions_76 {包边绳}
SeaQuestions_77 {用来测量水深的那个重物叫什么？}
SeaQuestions_78 {舵柄}
SeaQuestions_79 {你知道用铅坠测量海底、绘制海岸线的人叫什么吗？}
SeaQuestions_80 {前桅三角帆}
SeaQuestions_81 {你知道帆上那个圆形加固的孔叫什么吗？}
SeaQuestions_82 {锚孔}
SeaQuestions_83 {那你告诉我，桅杆上从下数第二块方帆叫什么？就是夹在帆头和帆脚之间的那块。}
SeaQuestions_84 {方形顶帆}
SeaQuestions_85 {你知道什么叫木钉吗？}
SeaQuestions_86 {木钉}
SeaQuestions_87 {你知道那个用来放指南针、灯和沙漏的木箱叫什么吗？}
SeaQuestions_88 {罗经箱}
SeaQuestions_89 {水手在桅杆横杆上作业时踩的绳索叫什么？}
SeaQuestions_90 {脚索}
SeaQuestions_91 {在有甲板的船上，舷墙最上面的木材叫什么？}
SeaQuestions_92 {舷侧}
SeaQuestions_93 {有时候帆上会有一条横向的系绳，用来缩小帆的面积。这个叫什么？}
SeaQuestions_94 {暗礁}
SeaQuestions_95 {锚尾端那个用来系绳子的环叫什么来着？}
SeaQuestions_96 {领航员}
SeaQuestions_97 {你称连接桅杆各段的结构叫什么？}
SeaQuestions_98 {桅顶横桁}
SeaQuestions_99 {那你告诉我，桅杆底部固定的位置叫什么？}
SeaQuestions_100 {横帆}
SeaQuestions_101 {你知道下桅杆延伸出来的那根桅杆叫什么吗？}
SeaQuestions_102 {上桅}
SeaQuestions_103 {告诉我那个三角形或有时是梯形、挂在支索上的纵帆叫什么名字。}
SeaQuestions_104 {前帆}
SeaQuestions_105 {你用什么来涂抹船底，以防止船蛆侵蚀？}
SeaQuestions_106 {焦油}
SeaQuestions_107 {有一面帆，前后纵帆，呈梯形。上边系在斜桁上，下边沿着帆杆展开。这叫什么？}
SeaQuestions_108 {三角帆}
SeaQuestions_109 {那艘古希腊战舰叫什么名字？它有三层桨座，用冲角作武器。}
SeaQuestions_110 {舷缘}
SeaQuestions_111 {你知道那种有三排桨的古罗马战舰叫什么吗？}
SeaQuestions_112 {三列桨座战船}
SeaQuestions_113 {你知道从艏斜桅延伸出去的那根桅杆叫什么吗？}
SeaQuestions_114 {艏斜桅}
SeaQuestions_115 {提醒我一下，用来升起东西的那根绳子叫什么？比如升起桅杆、帆、信号旗……}
SeaQuestions_116 {升帆索}
SeaQuestions_117 {当船舷在开放的上层甲板上方继续延伸时，这种结构叫什么？}
SeaQuestions_118 {舷墙}
SeaQuestions_119 {你们把用来调整火炮垂直方向的圆柱形凸起叫什么？}
SeaQuestions_120 {耳轴}
SeaQuestions_121 {你知道帆船尾部的上层甲板叫什么吗？就是值班军官站立、放置罗盘的地方。}
SeaQuestions_122 {后甲板}
SeaQuestions_123 {你们怎么称呼沿着船舷横向铺设、从艏楼通往后甲板用来行走的宽木板？}
SeaQuestions_124 {中桅支索}
SeaQuestions_125 {你知道把帆的下角拉向船尾、并固定帆的位置的那根绳子叫什么吗？}
SeaQuestions_126 {前帆}
SeaQuestions_127 {你知道船体肋骨状横梁叫什么吗？}
SeaQuestions_128 {靶场}
SeaQuestions_129 {你把绳子绕在物体上形成一个圈，这叫什么？}
SeaQuestions_130 {回转}
SeaQuestions_131 {你说的那个用来卸下火炮的又大又圆柱形的勺子叫什么？就是用来把弹丸和火药包拉出来的那个。}
SeaQuestions_132 {灯笼}
SeaQuestions_133 {你知道那种有两个孔、用于连接桅杆各部分的木质连接环叫什么吗？}
SeaQuestions_134 {桅顶}
SeaQuestions_135 {告诉我，你们怎么称呼那种没有滑轮的圆形木块？它们有三个通孔，用来拉紧支索和侧支索。}
SeaQuestions_136 {死眼}
SeaQuestions_137 {在本世纪中叶，加勒比地区的主要出口是什么？}
SeaQuestions_138 {糖}
SeaQuestions_139 {本世纪初中期，加勒比地区的主要进口是什么？}
SeaQuestions_140 {奴隶}
SeaQuestions_141 {第一位环绕地球航行的荷兰航海家是谁？}
SeaQuestions_142 {Olivier van Noort}
SeaQuestions_143 {那么荷兰东印度公司于1626年建立了第一座贸易站。它叫什么名字？}
SeaQuestions_144 {新阿姆斯特丹}
SeaQuestions_145 {那我们来玩个游戏吧。我是英国诗人、海盗和海军上将，曾经殖民弗吉尼亚，还深受伊丽莎白一世女王的宠爱。1618年我被斩首。你猜我是谁？}
SeaQuestions_146 {沃尔特·雷利爵士}
SeaQuestions_147 {第一个升起骷髅旗的海盗是谁？}
SeaQuestions_148 {Emanuel Wynne}
SeaQuestions_149 {安装在船尾柱上，用于操纵船只方向的沉重平板木或金属部件叫什么？}
SeaQuestions_150 {舵}
SeaQuestions_151 {将船只转向，使风吹到帆的另一侧，这个过程叫什么？}
SeaQuestions_152 {换舵}
SeaQuestions_153 {当你面向船头时，船的左侧叫什么？}
SeaQuestions_154 {左舷}
SeaQuestions_155 {大型船只中最低且主要的甲板，通常是火炮安装的位置，这叫什么名字？}
SeaQuestions_156 {炮甲板}
SeaQuestions_157 {你知道那种在地中海常见、既有纵帆又有横帆的小型快速帆船叫什么吗？}
SeaQuestions_158 {谢贝克}
SeaQuestions_159 {船首短而高起的甲板叫什么名字？}
SeaQuestions_160 {前甲板}
SeaQuestions_161 {你知道船头前部那个通常用来固定斜桅杆的竖直桅杆叫什么吗？}
SeaQuestions_162 {前支索}
SeaQuestions_163 {船上的厨房叫什么？}
SeaQuestions_164 {肋骨}
SeaQuestions_165 {用来判断船只在水中是否垂直的重物线叫什么？}
SeaQuestions_166 {铅垂线}
SeaQuestions_167 {安装在桅杆上的水平圆形平台，用作瞭望哨的叫什么？}
SeaQuestions_168 {瞭望台}
SeaQuestions_169 {在浓雾中用来发出低沉共鸣声以标示船只位置的那种大型通常为青铜制的物件叫什么名字？}
SeaQuestions_170 {雾钟}
